phase,regime,cell_id,method,gamma,theta,delta,landmark_interval,censoring_target,n,entry_sd,successful_replicates,bias,empirical_se,mean_estimated_se,se_ratio,coverage,coverage_mcse,power,power_mcse,mean_rows,mean_events,mean_subjects,mean_entry_x_correlation,mean_observed_censoring,mean_preentry_fraction_lm1,mean_preentry_fraction_lm2,mean_preentry_fraction_lm3,failed_replicates
confirmation,B,32,delayed,-4,0,0,4,0.3,1500,0.25,1000,0.00183174960333595,0.0889976234722313,0.0868037593244106,0.975349182795817,0.935,0.0077958322198467,0.998,0.00141279864099595,3527.671,293.951,1304.002,-0.997970081015656,0.297993333333333,0.149649173126267,0.0205451428708189,0.00112337348074797,0
confirmation,B,32,naive,-4,0,0,4,0.3,1500,0.25,1000,0.0165439699864889,0.0867690887233778,0.0845550302670567,0.974483327082303,0.932,0.00796090447122687,0.999,0.000999499874937461,3527.856,293.951,1304.002,-0.997970081015656,0.297993333333333,0.149649173126267,0.0205451428708189,0.00112337348074797,0
confirmation,B,32,strict,-4,0,0,4,0.3,1500,0.25,1000,0.00117149208714268,0.0922136961564303,0.0896179350863387,0.971850590765951,0.937,0.00768316341099159,0.993,0.00263647491928143,3307.423,285.865,1291.411,-0.997970081015656,0.297993333333333,0.149649173126267,0.0205451428708189,0.00112337348074797,0
confirmation,B,33,delayed,-4,0,0,6,0.3,1500,0.25,1000,0.000943292702431887,0.0794236784564621,0.0780934920998055,0.983252017754557,0.947,0.00708456067798138,1,0,3423.971,288.396,1316.776,-0.997971301209316,0.30182,0.147284035218708,0.0053398843146049,1.95592881250196e-05,0
confirmation,B,33,naive,-4,0,0,6,0.3,1500,0.25,1000,0.0149644206602818,0.0775828789745347,0.0762276887792268,0.982532354905872,0.941,0.00745110730026082,1,0,3424.168,288.396,1316.776,-0.997971301209316,0.30182,0.147284035218708,0.0053398843146049,1.95592881250196e-05,0
confirmation,B,33,strict,-4,0,0,6,0.3,1500,0.25,1000,0.000767858340037283,0.0821807835689673,0.0810500154933309,0.98624048072397,0.946,0.00714730718522718,0.999,0.000999499874937461,3224.147,280.877,1300.092,-0.997971301209316,0.30182,0.147284035218708,0.0053398843146049,1.95592881250196e-05,0
confirmation,B,34,delayed,-4,0,0,2,0.5,1500,0.25,1000,-0.00117622002347228,0.118645935559798,0.111615209589048,0.940741956835038,0.928,0.00817410545564467,0.934,0.00785136930732468,3201.157,228.356,1173.005,-0.997972551939646,0.501973333333333,0.165666719479421,0.0720707216003407,0.025183772051187,0
confirmation,B,34,naive,-4,0,0,2,0.5,1500,0.25,1000,0.0227868818605249,0.113520714772619,0.106897072329229,0.941652565730782,0.93,0.00806845710157772,0.972,0.0052168956286282,3201.372,228.356,1173.005,-0.997972551939646,0.501973333333333,0.165666719479421,0.0720707216003407,0.025183772051187,0
confirmation,B,34,strict,-4,0,0,2,0.5,1500,0.25,1000,-0.00322252694023772,0.124916006990375,0.117796007560906,0.943001704897453,0.941,0.00745110730026082,0.903,0.00935900635751467,2905.979,218.95,1139.527,-0.997972551939646,0.501973333333333,0.165666719479421,0.0720707216003407,0.025183772051187,0
confirmation,B,35,delayed,-4,0,0,4,0.5,1500,0.25,1000,0.00221730278239685,0.104316094605918,0.0987105450024077,0.946263808814099,0.937,0.00768316341099159,0.981,0.00431729081716764,3078.716,229.688,1209.106,-0.997974798894467,0.497629333333333,0.160685895552295,0.0238712625887175,0.00145246868776582,0
confirmation,B,35,naive,-4,0,0,4,0.5,1500,0.25,1000,0.0205462356116763,0.101139655736465,0.0956226515061605,0.945451621422564,0.932,0.00796090447122687,0.99,0.00314642654451046,3078.914,229.688,1209.106,-0.997974798894467,0.497629333333333,0.160685895552295,0.0238712625887175,0.00145246868776582,0
confirmation,B,35,strict,-4,0,0,4,0.5,1500,0.25,1000,0.002480937179909,0.107413005927822,0.102217917383512,0.951634455255811,0.936,0.00773976743836661,0.976,0.00483983470792134,2859.056,222.214,1188.75,-0.997974798894467,0.497629333333333,0.160685895552295,0.0238712625887175,0.00145246868776582,0
confirmation,B,36,delayed,-4,0,0,6,0.5,1500,0.25,1000,0.00276064219795777,0.0892633331151907,0.0875192730094081,0.980461629149205,0.944,0.00727076337120113,0.995,0.00223047080231955,2970.206,227.921,1233.176,-0.997975880946928,0.498949333333333,0.157645218053372,0.00637572185172384,3.00687521606818e-05,0
confirmation,B,36,naive,-4,0,0,6,0.5,1500,0.25,1000,0.0199999984566228,0.0866389054769149,0.0850204963343376,0.981320064771496,0.939,0.00756828910652864,0.999,0.000999499874937461,2970.402,227.921,1233.176,-0.997975880946928,0.498949333333333,0.157645218053372,0.00637572185172384,3.00687521606818e-05,0
confirmation,B,36,strict,-4,0,0,6,0.5,1500,0.25,1000,0.000844482666356421,0.0938930486071562,0.0913743054679411,0.973174338499185,0.94,0.00750999334220744,0.991,0.00298646948753876,2769.765,221.063,1205.634,-0.997975880946928,0.498949333333333,0.157645218053372,0.00637572185172384,3.00687521606818e-05,0
confirmation,B,37,delayed,-4,0,0,2,0,500,4,1000,0.00512392150804508,0.150421741137525,0.150685985879704,1.00175669248462,0.94,0.00750999334220744,0.787,0.0129472390879291,1378.598,127.79,468.85,-0.703822005121736,0,0.220934115848464,0.131608491103551,0.0702760696845184,0
confirmation,B,37,naive,-4,0,0,2,0,500,4,1000,0.0450854570702686,0.144231202832247,0.144320295514608,1.00061770740735,0.933,0.00790638982089803,0.882,0.0102017645532525,1381.471,127.79,468.85,-0.703822005121736,0,0.220934115848464,0.131608491103551,0.0702760696845184,0
confirmation,B,37,strict,-4,0,0,2,0,500,4,1000,0.00697296588141974,0.159674792128419,0.158789348696858,0.994454707472869,0.944,0.00727076337120113,0.743,0.0138185020895899,1185.503,118.603,436.534,-0.703822005121736,0,0.220934115848464,0.131608491103551,0.0702760696845184,0
confirmation,B,38,delayed,-4,0,0,4,0,500,4,1000,0.0090546115790067,0.140342930907269,0.133826150380869,0.953565309743278,0.944,0.00727076337120113,0.86,0.0109726933794762,1353.433,123.775,468.823,-0.70572528746505,0,0.221562095373609,0.0699862411243294,0.0143354437031773,0
confirmation,B,38,naive,-4,0,0,4,0,500,4,1000,0.0386208286893852,0.135966328748877,0.129670856943368,0.953698302635378,0.935,0.0077958322198467,0.924,0.00837997613361756,1356.035,123.775,468.823,-0.70572528746505,0,0.221562095373609,0.0699862411243294,0.0143354437031773,0
