entry_sd,replicate,outer_seed,bootstrap_seed,method,estimate,estimated_se,covered,reject_half,converged,error
4,733,710004733,910008733,strict,0.585002603941211,0.033785715533607,1,1,1,""
4,734,710004734,810008734,naive,0.601389770247934,0.0330771519053432,1,1,1,""
4,734,710004734,910008734,strict,0.614125895179023,0.0294137770376152,1,1,1,""
4,735,710004735,810008735,naive,0.646502347600616,0.0279932921441303,1,1,1,""
4,735,710004735,910008735,strict,0.636913901823694,0.0270447319864122,1,1,1,""
4,736,710004736,810008736,naive,0.549465281866745,0.0386876320364756,1,0,1,""
4,736,710004736,910008736,strict,0.550250598524314,0.0344680736945636,1,0,1,""
4,737,710004737,810008737,naive,0.623545638793874,0.0377115802819386,1,1,1,""
4,737,710004737,910008737,strict,0.623674675932642,0.036694197154689,1,1,1,""
4,738,710004738,810008738,naive,0.59245262583782,0.035045192509344,1,1,1,""
4,738,710004738,910008738,strict,0.593795667799852,0.0386305279726181,1,1,1,""
4,739,710004739,810008739,naive,0.595200729601673,0.0369674845748842,1,1,1,""
4,739,710004739,910008739,strict,0.5883267676266,0.0366213346168717,1,1,1,""
4,740,710004740,810008740,naive,0.586809848018276,0.0325383677871987,1,1,1,""
4,740,710004740,910008740,strict,0.583446101982358,0.0344281435269185,1,1,1,""
4,741,710004741,810008741,naive,0.678057844699135,0.0333026097275208,1,1,1,""
4,741,710004741,910008741,strict,0.676263451500471,0.0285067925258032,0,1,1,""
4,742,710004742,810008742,naive,0.654155705598711,0.0328816535977212,1,1,1,""
4,742,710004742,910008742,strict,0.651976044086088,0.0356625276128226,1,1,1,""
4,743,710004743,810008743,naive,0.628864159362591,0.0323462817241484,1,1,1,""
4,743,710004743,910008743,strict,0.628676137581333,0.0310378509983233,1,1,1,""
4,744,710004744,810008744,naive,0.609661477549083,0.0314549728780189,1,1,1,""
4,744,710004744,910008744,strict,0.613954127333347,0.0374331121468066,1,1,1,""
4,745,710004745,810008745,naive,0.608600454635695,0.0339392504257746,1,1,1,""
4,745,710004745,910008745,strict,0.616013418180256,0.0310563514344811,1,1,1,""
4,746,710004746,810008746,naive,0.620074757075393,0.0324710914054777,1,1,1,""
4,746,710004746,910008746,strict,0.617777523664251,0.0320742195108078,1,1,1,""
4,747,710004747,810008747,naive,0.550159138595781,0.0361547806222332,1,0,1,""
4,747,710004747,910008747,strict,0.545860300795228,0.0364290007385897,1,0,1,""
4,748,710004748,810008748,naive,0.632343537661813,0.036398803329015,1,1,1,""
4,748,710004748,910008748,strict,0.632118243496668,0.0309087377244932,1,1,1,""
4,749,710004749,810008749,naive,0.558746501032447,0.0339599744378256,1,0,1,""
4,749,710004749,910008749,strict,0.560545634652532,0.0326812493056869,1,0,1,""
4,750,710004750,810008750,naive,0.678297270533665,0.0353969830268162,1,1,1,""
4,750,710004750,910008750,strict,0.673411255097016,0.0377294401430242,1,1,1,""
4,751,710004751,810008751,naive,0.644670486101015,0.032439296402621,1,1,1,""
4,751,710004751,910008751,strict,0.641623578761621,0.0300394094766468,1,1,1,""
4,752,710004752,810008752,naive,0.623463580984332,0.0411476643739782,1,1,1,""
4,752,710004752,910008752,strict,0.627748714585752,0.0383884027053608,1,1,1,""
4,753,710004753,810008753,naive,0.613152992436448,0.0330941399694419,1,1,1,""
4,753,710004753,910008753,strict,0.606187596522769,0.0341196721013553,1,1,1,""
