cell_id,method,successful_replicates,bias,empirical_se,mean_estimated_se,se_ratio,coverage,coverage_mcse,power,power_mcse,mean_rows,mean_events,mean_subjects,mean_observed_entry_sd,mean_observed_censoring,landmark_interval,censoring_target,entry_sd,n,study_end,censor_rate,failed_replicates
34,strict,1000,0.00218778878594578,0.102118893197387,0.104916432052402,1.02739491946518,0.953,0.00669260786241059,0.976,0.00483983470792134,3161.728,243.769,1162.631,0.249877987908229,0.497866666666667,2,0.5,0.25,1500,64,0.040899845313492,0
35,delayed,1000,0.00337788342245745,0.0939742147031743,0.0938263742864067,0.998426798061207,0.943,0.00733150734842434,0.99,0.00314642654451046,3043.641,239.915,1199.899,0.250019640259822,0.499522666666667,4,0.5,0.25,1500,68,0.0347418598300612,0
35,naive,1000,0.00337788342245745,0.0939742147031743,0.0938263742864067,0.998426798061207,0.943,0.00733150734842434,0.99,0.00314642654451046,3043.641,239.915,1199.899,0.250019640259822,0.499522666666667,4,0.5,0.25,1500,68,0.0347418598300612,0
35,strict,1000,0.00337788342245745,0.0939742147031743,0.0938263742864067,0.998426798061207,0.943,0.00733150734842434,0.99,0.00314642654451046,3043.641,239.915,1199.899,0.250019640259822,0.499522666666667,4,0.5,0.25,1500,68,0.0347418598300612,0
36,delayed,1000,0.0009312841978088,0.0850640205929143,0.0842276958304234,0.990168290228212,0.949,0.00695693898205238,0.997,0.00172945077987204,2956.579,238.497,1228.138,0.249963798896398,0.495834666666667,6,0.5,0.25,1500,72,0.030013776471362,0
36,naive,1000,0.0009312841978088,0.0850640205929143,0.0842276958304234,0.990168290228212,0.949,0.00695693898205238,0.997,0.00172945077987204,2956.579,238.497,1228.138,0.249963798896398,0.495834666666667,6,0.5,0.25,1500,72,0.030013776471362,0
36,strict,1000,0.0009312841978088,0.0850640205929143,0.0842276958304234,0.990168290228212,0.949,0.00695693898205238,0.997,0.00172945077987204,2956.579,238.497,1228.138,0.249963798896398,0.495834666666667,6,0.5,0.25,1500,72,0.030013776471362,0
37,delayed,1000,-0.00518811724793648,0.153433816782553,0.144736283684893,0.943314105846783,0.934,0.00785136930732468,0.771,0.0132875505643441,1395.737,130.279,474.152,4.0013353860363,0,2,0,4,500,64,0,0
37,naive,1000,-0.00517770201059025,0.153591508368809,0.144712473921697,0.942190590212897,0.934,0.00785136930732468,0.773,0.0132465467198059,1395.767,130.279,474.152,4.0013353860363,0,2,0,4,500,64,0,0
37,strict,1000,-0.00447435943189044,0.15541292371048,0.146326669542493,0.941534758171631,0.934,0.00785136930732468,0.762,0.0134668481835952,1322.453,124.464,468.081,4.0013353860363,0,2,0,4,500,64,0,0
38,delayed,1000,-0.00418760171947062,0.132323090809954,0.129614051914925,0.979527088745833,0.932,0.00796090447122687,0.866,0.0107723720693262,1369.839,127.744,474.287,4.00192811763954,0,4,0,4,500,68,0,0
38,naive,1000,-0.00418490446532212,0.132162594079829,0.129585447875704,0.980500184473014,0.932,0.00796090447122687,0.866,0.0107723720693262,1369.881,127.744,474.287,4.00192811763954,0,4,0,4,500,68,0,0
38,strict,1000,-0.00467129846099525,0.133945054996518,0.130657748311673,0.975457797341375,0.932,0.00796090447122687,0.855,0.0111344061359374,1314.729,123.507,472.789,4.00192811763954,0,4,0,4,500,68,0,0
39,delayed,1000,0.00179106501058499,0.117286697094069,0.116966452120853,0.997269554168115,0.949,0.00695693898205238,0.946,0.00714730718522718,1344.346,124.14,474.281,4.00765023729085,0,6,0,4,500,72,0,0
39,naive,1000,0.00181888127276348,0.117342360637758,0.116959095813548,0.996733789723274,0.945,0.00720936890441875,0.947,0.00708456067798138,1344.39,124.14,474.281,4.00765023729085,0,6,0,4,500,72,0,0
39,strict,1000,0.00103448974930211,0.119681630461437,0.118241868260437,0.987970065285294,0.947,0.00708456067798138,0.937,0.00768316341099159,1293.833,120.098,472.156,4.00765023729085,0,6,0,4,500,72,0,0
40,delayed,1000,0.00383440094023219,0.157431208686512,0.152376395972588,0.967891927171888,0.943,0.00733150734842434,0.764,0.0134277324965908,1306.664,116.301,451.577,4.00875784718338,0.151492,2,0.15,4,500,64,0.00955915600221909,0
40,naive,1000,0.00398572006088392,0.157466484674413,0.152401883478689,0.967836957774247,0.944,0.00727076337120113,0.762,0.0134668481835952,1306.712,116.301,451.577,4.00875784718338,0.151492,2,0.15,4,500,64,0.00955915600221909,0
40,strict,1000,0.00328095475269183,0.159871023358649,0.15419363276202,0.964487682149301,0.942,0.00739161687318817,0.746,0.0137653187394989,1232.941,110.867,445.061,4.00875784718338,0.151492,2,0.15,4,500,64,0.00955915600221909,0
41,delayed,1000,-0.000659985779268961,0.144173713045724,0.137744014723275,0.955403116236525,0.936,0.00773976743836661,0.836,0.0117091417277271,1276.921,113.645,455.268,3.99382044593303,0.150158,4,0.15,4,500,68,0.0079620714643161,0
41,naive,1000,-0.000739856670775063,0.144205016609888,0.13772184090094,0.955041954424604,0.936,0.00773976743836661,0.836,0.0117091417277271,1276.955,113.645,455.268,3.99382044593303,0.150158,4,0.15,4,500,68,0.0079620714643161,0
