auc_cell_id,phase,regime,gamma,theta,delta,entry_sd,replicate,outer_seed,bootstrap_seed,method,strict_target_summary_auc,rows,events,subjects,estimate,estimated_se,covered,reject_half,converged,error
1,focused,B,-4,0,0,0.25,37,1200002037,1800007037,strict,0.606017101990918,1655,132,653,0.590293288937757,0.0404441832099519,1,1,1,""
1,focused,B,-4,0,0,0.25,37,1200002037,1800008037,delayed,0.606017101990918,1762,135,656,0.606974710294011,0.0365085077148778,1,1,1,""
1,focused,B,-4,0,0,0.25,38,1200002038,1800006038,naive,0.606017101990918,1812,143,658,0.566235117515536,0.0326252109165042,1,1,1,""
1,focused,B,-4,0,0,0.25,38,1200002038,1800007038,strict,0.606017101990918,1691,137,647,0.557468498634243,0.0327818231109941,1,0,1,""
1,focused,B,-4,0,0,0.25,38,1200002038,1800008038,delayed,0.606017101990918,1812,143,658,0.565632260085091,0.0341684956158636,1,0,1,""
1,focused,B,-4,0,0,0.25,39,1200002039,1800006039,naive,0.606017101990918,1709,174,626,0.543694015443923,0.0338568295110697,1,0,1,""
1,focused,B,-4,0,0,0.25,39,1200002039,1800007039,strict,0.606017101990918,1586,165,613,0.549626764062429,0.0328896544586534,1,0,1,""
1,focused,B,-4,0,0,0.25,39,1200002039,1800008039,delayed,0.606017101990918,1709,174,626,0.543996985161889,0.0346677007941657,1,0,1,""
1,focused,B,-4,0,0,0.25,40,1200002040,1800006040,naive,0.606017101990918,1761,143,654,0.633735323326075,0.0324388144459953,1,1,1,""
1,focused,B,-4,0,0,0.25,40,1200002040,1800007040,strict,0.606017101990918,1643,140,643,0.621175003019101,0.0317601479773992,1,1,1,""
1,focused,B,-4,0,0,0.25,40,1200002040,1800008040,delayed,0.606017101990918,1761,143,654,0.633186298424176,0.0292901195070292,1,1,1,""
1,focused,B,-4,0,0,0.25,41,1200002041,1800006041,naive,0.606017101990918,1717,143,644,0.636276294012567,0.0344828855491166,1,1,1,""
1,focused,B,-4,0,0,0.25,41,1200002041,1800007041,strict,0.606017101990918,1634,142,639,0.619564363052382,0.0408000934839022,1,1,1,""
1,focused,B,-4,0,0,0.25,41,1200002041,1800008041,delayed,0.606017101990918,1717,143,644,0.635595878276466,0.0359475065195982,1,1,1,""
1,focused,B,-4,0,0,0.25,42,1200002042,1800006042,naive,0.606017101990918,1731,159,644,0.635789013697431,0.0321301684194652,1,1,1,""
1,focused,B,-4,0,0,0.25,42,1200002042,1800007042,strict,0.606017101990918,1631,155,640,0.627282874703938,0.0345988150689033,1,1,1,""
1,focused,B,-4,0,0,0.25,42,1200002042,1800008042,delayed,0.606017101990918,1731,159,644,0.635397381311662,0.0327519307267899,1,1,1,""
1,focused,B,-4,0,0,0.25,43,1200002043,1800006043,naive,0.606017101990918,1733,143,641,0.610940831782246,0.0342625218214307,1,1,1,""
1,focused,B,-4,0,0,0.25,43,1200002043,1800007043,strict,0.606017101990918,1619,139,633,0.598717863109405,0.0337790499129338,1,1,1,""
1,focused,B,-4,0,0,0.25,43,1200002043,1800008043,delayed,0.606017101990918,1733,143,641,0.610388886981671,0.0319242417350933,1,1,1,""
1,focused,B,-4,0,0,0.25,44,1200002044,1800006044,naive,0.606017101990918,1783,172,656,0.657732729857874,0.0303816561036851,1,1,1,""
1,focused,B,-4,0,0,0.25,44,1200002044,1800007044,strict,0.606017101990918,1663,170,649,0.639234781015343,0.0316713521986516,1,1,1,""
1,focused,B,-4,0,0,0.25,44,1200002044,1800008044,delayed,0.606017101990918,1783,172,656,0.657217971856943,0.0287184612108144,1,1,1,""
1,focused,B,-4,0,0,0.25,45,1200002045,1800006045,naive,0.606017101990918,1745,172,652,0.669934275564988,0.0286634387274194,0,1,1,""
1,focused,B,-4,0,0,0.25,45,1200002045,1800007045,strict,0.606017101990918,1611,172,646,0.644906189539361,0.031913807865458,1,1,1,""
1,focused,B,-4,0,0,0.25,45,1200002045,1800008045,delayed,0.606017101990918,1745,172,652,0.669076558526205,0.0303856093945171,0,1,1,""
1,focused,B,-4,0,0,0.25,46,1200002046,1800006046,naive,0.606017101990918,1771,140,646,0.577752895682525,0.0294141227149778,1,1,1,""
1,focused,B,-4,0,0,0.25,46,1200002046,1800007046,strict,0.606017101990918,1664,133,642,0.581160234591751,0.035735285940708,1,1,1,""
1,focused,B,-4,0,0,0.25,46,1200002046,1800008046,delayed,0.606017101990918,1771,140,646,0.577984665316935,0.0357885922387132,1,1,1,""
1,focused,B,-4,0,0,0.25,47,1200002047,1800006047,naive,0.606017101990918,1801,156,665,0.628722133557233,0.0263239072636059,1,1,1,""
1,focused,B,-4,0,0,0.25,47,1200002047,1800007047,strict,0.606017101990918,1668,151,661,0.617301474745559,0.0308774938681541,1,1,1,""
1,focused,B,-4,0,0,0.25,47,1200002047,1800008047,delayed,0.606017101990918,1801,156,665,0.628417144830684,0.033405327180149,1,1,1,""
1,focused,B,-4,0,0,0.25,48,1200002048,1800006048,naive,0.606017101990918,1730,143,643,0.676060250737411,0.030606263317336,0,1,1,""
1,focused,B,-4,0,0,0.25,48,1200002048,1800007048,strict,0.606017101990918,1621,137,639,0.670996502623552,0.0309820582229741,0,1,1,""
1,focused,B,-4,0,0,0.25,48,1200002048,1800008048,delayed,0.606017101990918,1730,143,643,0.675568248807475,0.0359033365807633,1,1,1,""
1,focused,B,-4,0,0,0.25,49,1200002049,1800006049,naive,0.606017101990918,1760,132,657,0.601115706886194,0.0346105638766977,1,1,1,""
1,focused,B,-4,0,0,0.25,49,1200002049,1800007049,strict,0.606017101990918,1655,128,650,0.588265569921921,0.0379155117867116,1,1,1,""
1,focused,B,-4,0,0,0.25,49,1200002049,1800008049,delayed,0.606017101990918,1760,132,657,0.600996283980878,0.0340573976620689,1,1,1,""
1,focused,B,-4,0,0,0.25,50,1200002050,1800006050,naive,0.606017101990918,1738,165,643,0.680600321617549,0.0279433456075326,0,1,1,""
1,focused,B,-4,0,0,0.25,50,1200002050,1800007050,strict,0.606017101990918,1628,161,639,0.666398552900926,0.0312497839540036,1,1,1,""
